Initial,Common_name,Binomial,URL
zc,Cuvier's beaked whale,Ziphius cavirostris,http://www.arkive.org/cuviers-beaked-whale/ziphius-cavirostris/
pm,Sperm whale,Physeter macrocephalus,http://www.arkive.org/sperm-whale/physeter-macrocephalus/
md,Blainville's beaked whale,Mesoplodon densirostris,http://www.arkive.org/blainvilles-beaked-whale/mesoplodon-densirostris/
gm,Short-finned pilot whale,Globicephala macrorhynchus,http://www.arkive.org/short-finned-pilot-whale/globicephala-macrorhynchus/
ml,Southern elephant seal,Mirounga leonina,http://www.arkive.org/southern-elephant-seal/mirounga-leonina/
pv,Harbour or common seal,Phoca vitulina,http://www.arkive.org/common-seal/phoca-vitulina/
hs,Harbour or common seal,Phoca vitulina,http://www.arkive.org/common-seal/phoca-vitulina/
lw,Weddell seal,Leptonychotes weddellii,http://www.arkive.org/weddell-seal/leptonychotes-weddellii/
pp,Harbour porpoise,Phocoena phocoena,http://www.arkive.org/harbour-porpoise/phocoena-phocoena/
hp,Harbour porpoise,Phocoena phocoena,http://www.arkive.org/harbour-porpoise/phocoena-phocoena/
dl,Beluga,Delphinapterus leucas,http://www.arkive.org/beluga-whale/delphinapterus-leucas/
pa,Adelie penguin,Pygoscelis adeliae,http://www.arkive.org/adelie-penguin/pygoscelis-adeliae/
bm,Bowhead whale,Balaena mysticetus,http://www.arkive.org/bowhead-whale/balaena-mysticetus/
bm,Blue whale,Balaenoptera musculus,http://www.arkive.org/blue-whale/balaenoptera-musculus/
mn,Humpback whale,Megaptera novaeangliae,http://www.arkive.org/humpback-whale/megaptera-novaeangliae/
eg,North atlantic right whale,Eubalaena glacialis,http://www.arkive.org/north-atlantic-right-whale/eubalaena-glacialis/
rw,North atlantic right whale,Eubalaena glacialis,http://www.arkive.org/north-atlantic-right-whale/eubalaena-glacialis/
mb,Sowerby's beaked whale,Mesoplodon bidens,http://www.arkive.org/sowerbys-beaked-whale/mesoplodon-bidens/
bb,Bryde's whale,Balaenoptera brydei,
gm,Long-finned pilot whale,Globicephala melas,http://www.arkive.org/long-finned-pilot-whale/globicephala-melas/
pw,Long-finned pilot whale,Globicephala melas,http://www.arkive.org/long-finned-pilot-whale/globicephala-melas/
pw,Short-finned pilot whale,Globicephala macrorhynchus,http://www.arkive.org/short-finned-pilot-whale/globicephala-macrorhynchus/
sw,Sperm whale,Physeter macrocephalus,http://www.arkive.org/sperm-whale/physeter-macrocephalus/
rt,Whale Shark,,
tm,Florida manatee,Trichechus manatus,
